locality_name,uuid,city_name
Suraj Vihar,3025e85a706759012b6d,Delhi
Kurmedu,d846025fd9372aac066e,Hyderabad
Kannamangala,d4792ebb6c0c223fc84d,Bengaluru
Pink City,8583452c6c50a4517065,Ghaziabad
Vikaspuri,a75cd7c68fa01598ea5e,Pune
Chandapura,97bc2a4fca79edc64c6c,Bengaluru
Kandivali East,7cf63c1c4a58c7ea07b1,Mumbai
Kharadi,3df398b80c05aa611846,Pune
Baguiati,10df4018164be7ab52c6,Kolkata
Kalamboli,b28fef522dc3a1800bde,Mumbai
Dattawadi,684911daf106d9d384e7,Mumbai
Dahisar West,16928a58b20b26261a84,Mumbai
Annapurneshwari Nagar,949435dc1f4f53d65dd5,Bengaluru
Saroornagar,5c45daecba3affaeb055,Hyderabad
Meerpet,7b3f3e3407ba15073326,Hyderabad
Kona,69ff323a57d528c2bc0c,Kolkata
Sector 36 Sohna,1864ac472c1a7739556b,Gurgaon
Sector 82,687fcb5c47fc02d36f16,Gurgaon
Rajgurunagar,1d6db5e72329c0fd76e2,Pune
Byagadadhenahalli,ba909be1d4c09ec75791,Bengaluru
Gulmohar Park,afc489b11a0e881a33aa,Delhi
Shakurpur,e2006de0c66d8590ca6b,Delhi
Khar Danda,6005f9e65c4c4285f58c,Mumbai
Kammasandra Agrahara,53a9d3dff2d39cb901c2,Bengaluru
Mallapur,d5ef68548ebe9b7d7342,Bengaluru
Seemapuri,1a89f6b6b122a65a208d,Delhi
Kalwad Wasti,c764d20304fb511e46fb,Pune
Sector 32 Sohna,8f3314d8611045cf117b,Gurgaon
Jesangpura,1a6ad89991ba51104bdc,Ahmedabad
Boudhanagar Colony,e3389252563d378cc3a2,Hyderabad
Narayan Peth,364d8f498531702cc234,Pune
Shalibanda,0f7907860f713464e537,Hyderabad
Alurdoddanahalli,6bd3ba125a646ae2722a,Bengaluru
Chinna Kanchipuram,be489b788ad54fee334f,Chennai
Mathura Cantonment,4e419e770a237b474b02,Noida
Durga Nagar,29ece642db54e9645b02,Hyderabad
Ghorpadi,26d672a2a6273fb263dc,Pune
Sector 16A Dwarka,92f26c93dd86dbd76bc4,Delhi
Baghajatin,f33d5e5ad45c47baea09,Kolkata
Thorrur,12db34656b03341c1b59,Hyderabad
Sector 60,2e045a07d969bc1119ee,Noida
